axis,dir,deg,us,adc_mean,adc_min,adc_max,adc_sd,mv
EL,UP,166.0,2252,3245.91,3184,3306,27.43,2740
EL,UP,168.0,2273,3286.62,3238,3363,25.29,2764
EL,UP,170.0,2294,3342.48,3293,3437,29.30,2795
EL,DN,170.0,2294,3382.12,3334,3445,27.29,2814
EL,DN,168.0,2273,3326.73,3263,3401,26.17,2789
EL,DN,166.0,2252,3289.12,3226,3355,27.52,2762
EL,DN,164.0,2231,3231.88,3170,3300,22.55,2734
EL,DN,162.0,2210,3200.80,3150,3263,25.10,2715
EL,DN,160.0,2189,3164.34,3117,3238,23.92,2692
EL,DN,158.0,2168,3116.36,3039,3179,25.91,2664
EL,DN,156.0,2147,3043.31,2998,3115,23.49,2610
EL,DN,154.0,2126,3000.67,2915,3165,33.58,2583
EL,DN,152.0,2104,2965.44,2881,3030,25.89,2561
EL,DN,150.0,2083,2925.78,2848,3059,31.88,2539
EL,DN,148.0,2062,2890.23,2839,2943,24.05,2512
EL,DN,146.0,2041,2851.50,2807,2902,20.05,2482
EL,DN,144.0,2020,2814.09,2736,2864,22.54,2454
EL,DN,142.0,1999,2786.77,2751,2837,19.19,2425
EL,DN,140.0,1978,2753.94,2723,2803,17.27,2410
EL,DN,138.0,1957,2717.16,2672,2763,20.33,2375
EL,DN,136.0,1936,2685.22,2624,2737,18.58,2350
EL,DN,134.0,1914,2616.72,2559,2704,21.49,2291
EL,DN,132.0,1893,2583.30,2521,2637,27.00,2261
EL,DN,130.0,1872,2549.53,2486,2718,27.16,2232
EL,DN,128.0,1851,2515.48,2471,2559,21.05,2209
EL,DN,126.0,1830,2480.69,2432,2541,20.00,2179
EL,DN,124.0,1809,2450.14,2367,2497,20.44,2151
EL,DN,122.0,1788,2416.70,2384,2450,16.34,2122
EL,DN,120.0,1767,2380.36,2351,2432,18.01,2095
EL,DN,118.0,1746,2343.34,2304,2400,19.59,2068
EL,DN,116.0,1724,2308.28,2224,2358,20.57,2039
EL,DN,114.0,1703,2280.48,2247,2347,19.36,2010
EL,DN,112.0,1682,2256.81,2224,2301,19.15,1994
EL,DN,110.0,1661,2220.22,2166,2272,21.22,1966
EL,DN,108.0,1640,2161.05,2112,2220,19.76,1914
EL,DN,106.0,1619,2131.78,2087,2179,19.60,1890
EL,DN,104.0,1598,2098.14,2063,2154,19.58,1865
EL,DN,102.0,1577,2069.08,2006,2128,23.87,1838
EL,DN,100.0,1556,2035.78,1983,2087,21.92,1809
